"DATE","TITLE","ACTIVITY"
"Jan 14, 2017 07:56","Part 2i - Summary of Contributions and Transfers Received",""

SUMMARY_DATA
"Client_id","Registered_association","Fiscal_period","Total_monetary_contributions-Contributions_from_individuals","Total_non-monetary_contributions-Contributions_from_individuals","Total_contributions-Contributions_from_individuals","Total_number_of_contributors-Contributions_from_individuals","Total_monetary_contributions-Contributions_from_corporations","Total_non-monetary_contributions-Contributions_from_corporations","Total_contributions-Contributions_from_corporations","Total_number_of_contributors-Contributions_from_corporations","Total_monetary_contributions-Contributions_from_trade_unions","Total_non-monetary_contributions-Contributions_from_trade_unions","Total_contributions-Contributions_from_trade_unions","Total_number_of_contributors-Contributions_from_trade_unions","Total_monetary_contributions-Contributions_from_associations","Total_contributions-Contributions_from_associations","Total_number_of_contributors-Contributions_from_associations","Total_monetary_contributions-Total_of_all_contributions","Total_non-monetary_contributions-Total_of_all_contributions","Total_contributions-Total_of_all_contributions","Total_number_of_contributions-Total_of_all_contributions","Total_monetary_transfers-Transfers_received_from_registered_parties","Total_non-monetary_transfers-Transfers_received_from_registered_parties","Total_transfers-Transfers_received_from_registered_parties","Total_monetary_transfers-Transfers_received_from_registered_associations","Total_non-monetary_transfers-Transfers_received_from_registered_associations","Total_transfers-Transfers_received_from_registered_associations","Total_monetary_transfers-Transfers_received_from_candidates","Total_non-monetary_transfers-Transfers_received_from_candidates","Total_transfers-Transfers_received_from_candidates","Total_monetary_transfers-Transfers_received_from_leadership_contestants","Total_transfers-Transfers_received_from_leadership_contestants","Total_monetary_transfers-Transfers_received_from_nomination_contestants","Total_transfers-Transfers_received_from_nomination_contestants","Total_monetary_transfers-Total_transfers_received","Total_non-monetary_transfers-Total_transfers_received","Total_transfers-Total_transfers_received","Total_monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_non-monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received"
"3941","Algoma--Manitoulin--Kapuskasing Conservative Association","2004","2950.25","","2950.25","39","2500","","2500","3","","","","","","","","5450.25","","5450.25","42","2110.19","","2110.19","7713.44","","7713.44","","","","","","","","9823.63","","9823.63","15273.88","","15273.88"
"7017","Algoma--Manitoulin--Kapuskasing Conservative Association","2005","3035","","3035","20","3150","0","3150","5","","","","","","","","6185","","6185","25","1007.65","","1007.65","1325.05","0","1325.05","","","","","","","","2332.7","","2332.7","8517.7","","8517.7"
"10751","Algoma--Manitoulin--Kapuskasing Conservative Association","2006","2280","","2280","16","","","","","","","","","","","","2280","","2280","16","3420.5","","3420.5","","","","1000","","1000","","","","","4420.5","","4420.5","6700.5","","6700.5"
"3513","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2004","5945","","3385","43","1300","","1300","5","","","","","","","","7245","","","48","10403.32","","10403.32","","","","","","","","","","","10403.32","","10403.32","17648.32","","17648.32"
"6192","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2005","15995","","15995","155","800","","800","2","","","","","","","","16795","","16795","157","7633.78","","7633.78","","","","2500","","2500","","","","","10133.78","","10133.78","26928.78","","26928.78"
"9929","Algoma--Manitoulin--Kapuskasing Federal Liberal Association","2006","9770","","9770","65","400","","400","2","","","","","","","","10170","","10170","67","10440.52","","10440.52","","","","","","","","","","","10440.52","","10440.52","20610.52","","20610.52"
"3176","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2004","6671","","6671","71","","","0","0","","","0","0","","","0","6671","0","6671","71","400","","400","","","0","","","0","","0","","0","400","0","400","7071","0","7071"
"6263","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2005","9229","","9229","98","","","0","0","","","0","0","","","0","9229","0","9229","98","3740.04","","3740.04","","","0","2482.47","","2482.47","","0","","0","6222.51","0","6222.51","15451.51","0","15451.51"
"10000","Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","2006","9565","","9565","53","","","0","0","","","0","0","","","0","9565","0","9565","53","2165","","2165","","","0","591.77","","591.77","","0","","0","2756.77","0","2756.77","12321.77","0","12321.77"
"2849","Ancaster--Dundas--Flamborough--Westdale Conservative Association","2004","9280","","9280","45","3275","","3275","6","","","","","","","","12555","","12555","51","13826.97","","13826.97","11551.75","","11551.75","","","","","","","","25378.72","","25378.72","37933.72","","37933.72"
